Breed,About
Colorpoint Shorthair,"Colorpoint Shorthairs are a variety of domestic cat. Depending on the cat registry, they may be considered a separate breed of cat, or more often a variant of a pre-existing one, if accepted at all. These cats are distinguished by their conformance to wide range of sixteen different point colors, beyond the four standard Siamese colors. The variety was initially created by crossbreeding Siamese with the American Shorthair – the same mixture that created the Oriental Shorthair, but with different goals. The Colorpoint Shorthair shares the point-coloration pattern with the Siamese, but in the nontraditional colors of red, cream, tortoiseshell, and lynx (tabby) points, and minor variations thereof. In body style, head shape, and other features, it may be intermediate between the two foundation breeds, which show cats leaning toward Siamese traits. Those who favour the Traditional Siamese look may also favour the more moderate-typed Colourpoint Shorthairs that take after their American Shorthair ancestors in shape."
Cornish Rex,"A Cornish Rex is a breed of domestic cat. The Cornish Rex has no hair except for down. Most breeds of cat have three different types of hair in their coats: the outer fur or ""guard hairs"", which is about 5 cm long in shorthairs and 10 cm+ long in longhairs; a middle layer called the ""awn hair""; and the down hair or undercoat, which is very fine and about 1 cm long. Cornish Rexes only have the undercoat. The curl in Cornish Rex fur is caused by a different mutation and gene than that of the Devon Rex. It originates from Cornwall, Britain."
Cymric cat,"The Cymric (/ˈkɪmrᵻk/ kim-rik or /ˈkʌmrᵻk/ kum-rik) is a breed of domestic cat. Some cat registries consider the Cymric simply a semi-long-haired variety of the Manx breed, rather than a separate breed. Except for the length of fur, in all other respects the two varieties are the same, and kittens of either sort may appear in the same litter. The name comes from Cymru (Welsh pronunciation: [ˈkəmrɨ]), the indigenous Welsh name of Wales, though the breed is not associated with Wales, and the name was possibly given as an attempt to provide a ""Celtic""-sounding name for the breed. The breed's Manx bloodline originated in the Isle of Man, though Canada claims to have developed the long-haired variant. The breed is called the Longhair Manx or a similar name by some registries."
Cyprus cat,The Cyprus cat is a landrace of domestic cat believed to be descended from cats of Egypt or Palestine brought to Cyprus by St. Helen to rid the island of snakes and vermin. It is not recognized as a formal breed by any major cat fancier and breeder organization.
Devon Rex,"The Devon Rex is a breed of intelligent, short-haired cat that emerged in England during the 1960s. They are known for their slender bodies, wavy coat, and large ears. This breed of cat is capable of learning difficult tricks. They are even known to recognize their owner's name, just as they do their own."
Donskoy cat,"The Donskoy is a hairless cat breed of Russian origin. This breed started in 1987 with the discovery of a hairless cat in the Russian city of Rostov-on-Don by cat breeder Elena Kovaleva.[1] It is not related to the better known hairless breed of cat the Sphynx, also known as the Canadian hairless, whose characteristic hairlessness is caused by a recessive gene, whereas the Don hairlessness is caused by a dominant gene."
Dragon Li,"The Dragon Li, also called Chinese Li Hua, China Li Hua, Li Hua, Li Hua Mau, Li Hua Mao (in Pinyin) and 貍花貓 (in Chinese character), or simply Li Mao (Chinese character: 貍貓) is a Chinese breed of domestic cat originating from nascent Chinese folklore and dynastic culture. The natural breed, based on a native landrace, is recognized as a formal breed by the US-based Cat Fanciers Association (CFA) and China's Cat Aficionado Association (CAA)."
Dwarf cat,"A dwarf cat is any domestic cat which has the condition of dwarfism due to a genetic mutation. Unlike undersized cats of normal proportions, dwarf cats display symptoms of osteochondrodysplasia—genetic disorders of bone and cartilage, typically manifested as noticeably short legs.[1]"
Egyptian Mau,"Egyptian Maus are a small- to medium-sized short-haired cat breed. Along with the Bahraini Dilmun cat, they are one of the few naturally spotted breeds of domesticated cat. The spots of the Mau occur on only the tips of the hairs of their coat."
European Shorthair,"The European shorthair, also called the European or Celtic shorthair, is a breed originating in Europe, an elaborate way of referring to common European cats. This role was held until the beginning of the 20th century by the British shorthair, even though stockier than the majority of common European cats, until 1983 when the European shorthair was recognized by the Fédération internationale féline."
Exotic Shorthair,"The Exotic Shorthair is a breed of cat developed to be a short-haired version of the Persian. The Exotic is similar to the Persian in many ways, including temperament and conformation, with the exception of the short dense coat.[1]"
Foldex Cat,"Foldex Cat also known as the Exotic Fold[1] a type of cat developed in the Canadian province of Quebec. The physical features of Foldex are a medium-sized cat, rounded face, short legs, and folded ears. The latter are the defining feature of the Foldex. Their eyes are well-rounded and wide open, with pair of ears with small and smooth-edged tips. The coat of foldex cat is varied from long to short hair coat, and naturally dense and soft. They are sweet with charming personalities, active and cheerful cat, which enjoyed being petted.[2]"
"","The following list of cat breeds includes domestic cat breeds and domestic × wild hybrids. The list includes established breeds recognized by various cat registries, new and experimental breeds, distinct domestic populations not being actively developed, and lapsed breeds. As of 2016, the International Progressive Cat Breeders Alliance (IPCBA) recognizes 73 cat breeds while The International Cat Association (TICA) recognizes 58, the Cat Fanciers' Association (CFA) recognizes 44, and Fédération Internationale Féline (FIFe) recognizes 43.[1][unreliable source]"
German Rex,The German Rex is a breed of domestic cat.
Havana Brown,"The Havana Brown was the result of a planned breeding between Siamese and domestic black cats,[1] by a group of cat fanciers in England, in the 1950s. Early breeders introduced a Siamese type Russian Blue into their breeding. However, using current genetic testing, it is believed that almost none remain in the gene pool."
Highlander cat,"The British Longhair[1] is a medium-sized, semi-long-haired breed of domestic cat, originating in Great Britain."
Himalayan cat,"The Himalayan (a.k.a. Himalayan Persian, or Colourpoint Persian as it is commonly referred to in Europe), is a breed or sub-breed of long-haired cat identical in type to the Persian, with the exception of its blue eyes and its point colouration, which were derived from crossing the Persian with the Siamese."
Japanese Bobtail,"The Japanese Bobtail is a breed of domestic cat with an unusual ""bobbed"" tail more closely resembling the tail of a rabbit than that of other cats. The variety is native to Japan and Southeast Asia, though it is now found throughout the world. The breed has been known in Japan for centuries, and it frequently appears in traditional folklore and art."
Javanese cat,The Javanese is a breed of domestic cat recognized by the Cat Fanciers Association as a show cat. It is an oriental-type longhair.[1] The breed was developed in North America and its name is derived from the tradition of naming oriental-type cats after south-east Asian places.
Kurilian Bobtail,"The Kurilian Bobtail is a cat breed (or breed group, depending on registry) originating from the Kuril Islands, claimed by both Russia and Japan, as well as Sakhalin Island and the Kamchatka peninsula of Russia.[1][2] Short- or long-haired, it has a semi-cobby body type and a distinct short, fluffy tail. The back is slightly arched with hind legs longer than the front, similar to those of the Manx.[2] The breed is also called the Kuril Islands Bobtail, Kuril Bobtail (both often misspelled ""Kurile"") and Curilsk Bobtail, and may be referred to without ""Bobtail"". It is sometimes also spelled Kurilean.[3] The original short-haired variant is a natural breed,[2][3] known on the islands for over 200 years.[2] As selectively bred pets, they have been popular in Russia and to some extent other parts of Europe, especially for their rodent-hunting abilities, since the middle of the 20th century,[2] but remain rare in North America[2] as of 2011."
Khao Manee,"The Khao Manee cat (Thai: ขาวมณี, rtgs: Khao Mani, meaning ""White Gem""), also known as the Diamond Eye cat,[1] is a rare breed of cat originating in Thailand, which has an ancient ancestry tracing back hundreds of years. They are mentioned in the Tamra Maew, or Cat Book Poems.[2] Khao Manee cats are pure white with a short, smooth, close-lying coat. They can have blue eyes, gold eyes or odd eyes with one of each colour. The odd eyed Khao Manee is the rarest variety. They are muscular, athletic cats of moderate foreign type and are reputed to be active, communicative and intelligent."
Korat,"The Korat (Thai: โคราช, มาเลศ, สีสวาด, rtgs: Khorat, Malet, Sisawat) is a slate blue-grey short-haired breed of domestic cat with a small to medium build and a low percentage of body fat. Its body is semi-cobby, and unusually heavy for its size. It is an intelligent and playful[1] active cat that forms strong bonds with people. Among the Korats' distinguishing characteristics is its heart-shaped head and large green eyes.[2]"
Korean Bobtail (page does not exist),Other reasons this message may be displayed:
Korn Ja (page does not exist),Other reasons this message may be displayed:
Kurilian Bobtail,"The Kurilian Bobtail is a cat breed (or breed group, depending on registry) originating from the Kuril Islands, claimed by both Russia and Japan, as well as Sakhalin Island and the Kamchatka peninsula of Russia.[1][2] Short- or long-haired, it has a semi-cobby body type and a distinct short, fluffy tail. The back is slightly arched with hind legs longer than the front, similar to those of the Manx.[2] The breed is also called the Kuril Islands Bobtail, Kuril Bobtail (both often misspelled ""Kurile"") and Curilsk Bobtail, and may be referred to without ""Bobtail"". It is sometimes also spelled Kurilean.[3] The original short-haired variant is a natural breed,[2][3] known on the islands for over 200 years.[2] As selectively bred pets, they have been popular in Russia and to some extent other parts of Europe, especially for their rodent-hunting abilities, since the middle of the 20th century,[2] but remain rare in North America[2] as of 2011."
LaPerm,"The LaPerm is a recognized breed of cat. A LaPerm's fur is curly (hence the name ""perm""), with the tightest curls being on the belly, throat and base of the ears. LaPerms come in many colors and patterns. LaPerms generally have a very affectionate personality."
Lykoi,"The Lykoi is a breed of cat, a natural mutation of the domestic shorthair. The Lykoi was developed in Vonore, Tennessee and is said to resemble a werewolf. The word ""lykoi"" roughly means ""wolf"" in Greek."
Maine Coon,The Maine Coon is the largest domesticated breed of cat.[2][3]
Manx cat,"The Manx cat (/ˈmæŋks/, in earlier times often spelled Manks), is a breed of domestic cat (Felis catus) originating on the Isle of Man, with a naturally occurring mutation that shortens the tail. Many Manx have a small stub of a tail, but Manx cats are best known as being entirely tailless; this is the most distinguishing characteristic of the breed, along with elongated hind legs and a rounded head. Manx cats come in all coat colours and patterns, though all-white specimens are rare, and the coat range of the original stock was more limited. Long-haired variants are sometimes considered a separate breed, the Cymric. Manx are prized as skilled hunters, and thus have often been sought by farmers with rodent problems, and been a preferred ship's cat breed. They are said to be social, tame and active. An old local term for the cats on their home island is stubbin. Manx have been exhibited in cat shows since the 1800s, with the first known breed standard published in 1903."
Mekong Bobtail (page does not exist),Other reasons this message may be displayed:
Minskin,"The Minskin is a breed of cat derived from crossing the Munchkin with the Sphynx. In 1998 Paul McSorley began the development of the Minskin in Boston, Massachusetts. Just as the Siamese has color restricted to the points/extremities, Paul McSorley envisioned a cat with short legs and fur restricted to the points (fur-points). To accomplish his goal, he crossed his already established Munchkin cats with short legs and fur, with 'fuzzy' Sphynx for the hairless characteristic where fur can occur on the extremities, making for a healthier immune system. He also used his International Award Winning Burmese cats and Devon Rex in the development of his Minskin breeding program. The first cat that met his goal was ""TRT I Am Minskin Hear Me Roar"" 'Rory' was born in July, 2000. By early 2005 about 50 cats meeting the Minskin vision existed and were registered by The International Cat Association. In 2008 the Minskin became recognized as a Preliminary New Breed and is currently in TICA's program that monitors the development of new breeds."
Munchkin cat,"The Munchkin is a relatively new breed of cat characterized by its very short legs, which are caused by a naturally occurring genetic mutation. Much controversy erupted over the breed when it was recognized by The International Cat Association in 1995 with critics voicing concern over potential health and mobility issues."
Nebelung,"The Nebelung is a rare breed of domestic cat. Nebelungs have long bodies, wide-set green eyes, long and dense fur, and mild dispositions. The name Nebelung — apparently a portmanteau of the German word Nebel ('mist' of 'fog'), and the name of a medieval Germanic saga, Nibelungenlied — is perhaps derived from the cat's distinctive silky blue-grey coat and from the breed's progenitors, who were named after the two major figures in the Nibelungenlied, the German warrior Siegfried and the Icelandic queen Brunhilde."
Napoleon cat,"The Minuet cat[1] (also known as the Napoleon) is a new breed, categorized by The International Cat Association (TICA) as a domestic hybrid breed, ""a breed developed from a deliberate cross between two existing domestic breeds, incorporating characteristics of both parental breeds into the new breed."" [2] The two breeds from which make this cat are the Munchkin and the Persian. According to TICA’s official standard for the Minuet, these breeds represent the only permissible outcrosses one may utilize to create the Minuet.[3] This includes the combinations Minuet × Minuet, Minuet× Munchkin, and Minuet× a member of the Persian breeds (including Persians, Himalayans and Exotic Shorthairs. Minuets come in both long-haired and short-haired varieties."
Norwegian Forest cat,"The Norwegian Forest cat (Norwegian: Norsk skogkatt or Norsk skaukatt) is a breed of domestic cat originating in Northern Europe. This natural breed is adapted to a very cold climate, with top coat of glossy, long, water-shedding hairs, and a woolly undercoat for insulation. Although this is uncertain, the breed's ancestors may have been a landrace of short-haired cats brought to Norway by the Vikings around 1000 AD, who may also have brought with them long-haired cats, like those ancestral to the modern Siberian and Turkish Angora breeds. During World War II, the breed became nearly extinct until efforts by the Norwegian Forest Cat Club helped the breed by creating an official breeding program. It was registered as a breed with the European Fédération Internationale Féline in the 1970s, when a local cat fancier, Carl-Fredrik Nordane, took notice of the breed and made efforts to register it. Currently, the Norwegian Forest breed is very popular in Norway, Sweden, Iceland and France."
Ocicat,"The Ocicat is an all-domestic breed of cat which resembles a wild cat but has no wild DNA in its gene pool. The breed is unusual in that it is spotted like a wild cat but has the temperament of a domestic animal. It is named for its resemblance to the ocelot. The breed was established from Siamese and Abyssinian stock; later, American Shorthairs (silver tabbies) were added to the mix and gave the breed their silver color, bone structure and distinct markings."
Ojos Azules,Ojos Azules are a relatively new breed of domestic cat.
Oregon Rex,"The Oregon Rex was one of several breeds of domestic cat with the rex coat variation, which in the mid-20th-century occurred from spontaneous genetic mutation."
Oriental Bicolor,"The Oriental Bicolour is any cat of Oriental type, either longhaired or shorthaired and in any pattern including colourpoint, which has white areas on its coat caused by the white spotting gene."
Oriental Shorthair,"The Oriental Shorthair is a breed of domestic cat that is closely related to the Siamese. It maintains the modern Siamese head and body type but appears in a wide range of coat colors and patterns. Like the Siamese, Orientals have almond-shaped eyes, a triangular head shape, large ears, and an elongated, slender, and muscular body. Their personalities are also very similar. Orientals are social, intelligent, and many are rather vocal. They often remain playful into adulthood, with many enjoying playing fetch. Despite their slender appearance, they are athletic and can leap into high places. They prefer to live in pairs or groups and also seek human interaction. Unlike the breed's blue-eyed forebear, Orientals are usually green-eyed.[1] The Oriental Longhair differs only with respect to coat length."
Oriental Longhair,The Oriental Longhair is a breed of domestic cat. It is closely related to the Oriental Shorthair.
Persian cat,"The Persian cat is a long-haired breed of cat characterized by its round face and short muzzle. In Britain, it is sometimes called the Longhair or Persian Longhair. It is also known as the Shiraz or Shirazi, particularly in the Middle East. The first documented ancestors of the Persian were imported into Europe from Persia around 1620.[1] Recognized by the cat fancy since the late 19th century, it was developed first by the English, and then mainly by American breeders after the Second World War. Some cat fancier organizations' breed standards subsume the Himalayan and Exotic Shorthair as variants of this breed, while others treat them as separate breeds."
Traditional Persian,"In modern and recent history in Iran the original and most sought-after ""Persian Cat"" is described as; an all white fur female with different eye colors, often one genetically stripped of pigment (blue) and the other any range of darker color (brown), shades naturally varying from animal to animal. Believed to be communicators with the afterlife, vessels of celebration and part of the pagan naturalistic lifestyle that ancient Persians enjoyed; Persian cats remain beloved and celebrated today."
Peterbald,The Peterbald is a cat breed of Russian origin.
Pixie-bob,"The Pixie-bob is a breed of domestic cat claimed by breed founder Carol Ann Brewer of Washington State to be the progeny of naturally occurring bobcat hybrids. DNA testing has failed to detect bobcat marker genes[1] and Pixie-bobs are considered wholly domestic for the purposes of ownership, cat fancy registration, import and export."
Raas cat,"The Raas cat is endemic of domestic cat breed originating from Raas Island, Indonesia.[3][2]"
Ragamuffin cat,"The Ragamuffin (often spelled RagaMuffin) is a breed of domestic cat. It is a variant of the Ragdoll cat and was established as a separate breed in 1994. Ragamuffins are notable for their friendly personalities and thick, rabbitlike fur."
Ragdoll,"The Ragdoll is a cat breed with blue eyes and a distinct colorpoint coat. It is a large and muscular semi-longhair cat with a soft and silky coat.[1] Developed by American breeder Ann Baker,[2] it is best known for its docile and placid temperament and affectionate nature. The name ""Ragdoll"" is derived from the tendency of individuals from the original breeding stock to go limp and relaxed when picked up.[3] Particularly popular in both the United Kingdom and the breed's native United States, ragdoll cats often are known as ""dog-like cats"" or ""puppy-like cats"" due to behaviors such as their tendency to follow people around, their ease at being physically handled, and their relative lack of aggression toward other pets. [4]"
Russian Blue,"The Russian Blue is a cat breed that comes in colors varying from a light shimmering silver to a darker, slate grey. They develop close bonds with their human companions and are sought out as pets due to their personalities, beauty and coat. It is their short, dense coat which has been the hallmark of the Russian breed for more than a century. The dense coat stands out from the body and you can draw patterns in the coat that will stay until you smooth them out again."
"Russian White, Black and Tabby","The Russian White, Russian Black, and Russian Tabby are breeds of cat created in 1971, derived from the Russian Blue. The Black and Tabby Russians came from the original mating which created the Russian White. It is appropriate to consider their origins first."
Sam Sawet,"The Sam Sawet (Thai: แซมเศวต) is a natural breed of cat that originated in Thailand. This breed has not yet been recognized by any major cat registries. It is a new discovery with undetermined breed standards. It is known to be a medium-sized cat, usually between 9 to 13 pounds.[1]"
Savannah cat,The Savannah is a hybrid cat breed. It is a cross between a serval and a domestic cat.
Scottish Fold,"The Scottish Fold is a breed of domestic cat with a natural dominant-gene mutation that affects cartilage throughout the body, causing the ears to ""fold"", bending forward and down towards the front of their head, which gives the cat what is often described as an ""owl-like"" appearance.[1]"
Selkirk Rex,The Selkirk Rex is a breed of cat with highly curled hair.
Serengeti cat,"The Serengeti is a breed of domestic cat, first developed by crossing a Bengal (domestic and wild hybrid) and an Oriental Shorthair. Recognized and registered by The International Cat Association (TICA), no other first generation crosses can be registered as Serengeti. From the Bengal × Oriental cross came the first foundation Serengeti. Breeders then worked with the cat to produce a cat that resembles the breed profile set by TICA. Created by Karen Sausman of Kingsmark Cattery in California in 1994, the breed is still in the development stages, but the ultimate aim is to produce a cat that looks similar to a serval, without using any recent wild cat blood.[1] (Bengal cats originate from hybridization of leopard cats and domestic cats. Most Bengal cats used in Serengeti breeding programs are many generations removed from these origins and possess few genetic contributions of the wild forbear except alleles affecting coat color.) Serengetis are spotted cats, with long legs and very large, round tipped ears.[2] They have a long neck which blends with the base of the skull without tapering.[3] Males are generally slightly larger and heavier than females and can weigh between 10 to 15 lbs; females generally weigh between 8 and 12 lbs.[4] Because the Bengal stock is a hybrid cat, the Serengeti is also classified as a hybrid."
Serrade petit cat,"The Serrade petit is a natural breed of cat that originated in France. This breed has not yet been recognized by any major cat registries. It is a new discovery with undetermined breed standards. It is known to be a small cat, usually between 6 to 9 pounds.[1]"
Siamese cat,"The Siamese cat is one of the first distinctly recognized breeds of Asian cat. Derived from the rtgs: wichianmat (Thai: วิเชียรมาศ, [wí.tɕʰīan.mâːt] ( listen)) landrace, one of several varieties of cat native to Thailand (formerly known as Siam), the Siamese became one of the most popular breeds in Europe and North America in the 20th century. The carefully refined modern Siamese is characterized by blue almond-shaped eyes, a triangular head shape, large ears, an elongated, slender, and muscular body, and point colouration. (Aside from the colouration, it bears little resemblance to the original stock, and the more moderate, traditional or ""old-style"" Siamese, with a much rounder head and body, has been re-established by multiple registries as the Thai cat.) The International Cat Association describes the modern Siamese as social, intelligent, and playful into adulthood, often enjoying a game of fetch.[1] Siamese tend to seek human interaction and also like companionship from other cats."
Siberian cat,"The Siberian is a landrace variety of domestic cat, present in Russia for centuries,[3] and more recently developed as a formal breed, with standards promulgated since the late 1980s.[4]"
Singapura cat,"The Singapura is one of the smallest breeds of cats, noted for its large eyes and ears, brown ticked coat and blunt tail. Reportedly established from three ""drain cats"" imported from Singapore in the 1970s, it was later revealed that the cats were originally sent to Singapore from the US before they were exported back to the US. Investigations by the Cat Fanciers' Association (CFA) concluded no wrongdoing and the Singapura kept its status as a natural breed."
Snowshoe cat,"The Snowshoe is a rare breed of cat originating in the United States of America in the 1960s. Snowshoes were first produced in Philadelphia when a Siamese breeder's cat gave birth to three kittens with white feet. The breeder, Dorothy Hinds-Daugherty, then began a breeding program to produce what were originally called ""Silver Laces"",[1] crossing the strangely marked Siamese cats with bi-color American Shorthair cats and other breeds. When Hinds-Daugherty left the program, Vikki Olander began working with the cats and recruited new breeders, as well as worked towards full recognition within cat associations. Despite having existed for 45 years, Snowshoes are rare due to the difficulty of reproducing the correct coat markings. The marks are based on recessive genes for color points and on the co-dominant but variably-expressed piebald pattern gene, making it difficult to predict the appearance of offspring."
Sokoke,"The Sokoke (or Sokoke Forest Cat in long form, and formerly the African Shorthair) is natural breed of domestic cat, developed and standardised, beginning in the late 1970s, from the feral khadzonzo landrace of eastern, coastal Kenya. The Sokoke is recognized by four major cat pedigree registry organizations as a standardised cat breed.[1][verification needed] It is named after the Arabuko Sokoke National Forest, the environment of from which the foundation stock was obtained, for breed development primarily in Denmark and the United States. The cat is long-legged, with short, coarse hair, and typically a tabby coat, though specific lineages have produced different appearances. Although one rumored to be a domestic × wildcat hybrid, genetic study has not borne out this belief. Another idea, that the variety is unusually ancient, remains unproven either way. The native population is closely related to an island-dwelling group, the Lamu cat, further north."
Somali cat,"The Somali cat is often described as a long-haired Abyssinian. The first Somali cats appeared in the litters of Abyssinians as long-haired kittens. The Somali is a product of a recessive gene in Abyssinian cats, though how the gene was introduced into the Abyssinian gene pool is still a mystery."
Sphynx cat,"The Sphynx is a breed of cat developed through selective breeding starting in the 1960s, known for its lack of a coat (fur), though it is not truly hairless. The skin should have the texture of chamois, as it has fine hairs. Whiskers may be present, either whole or broken, or may be totally absent. The skin is the color their fur would be, and all the usual cat marking patterns (solid, point, van, tabby, tortie, etc.) may be found on Sphynx skin. Because they have no coat, they lose more body heat than coated cats. This makes them warm to the touch as well as heat-seeking."
Suphalak,"The Suphalak (Thai: แมวศุภลักษณ์, แมวทองแดง, rtgs: Suphalak, Thong Daeng) is a solid reddish-brown copper colored, short-haired breed of cat originating in Thailand. The Suphalak is a natural breed and should not be confused with the sable Burmese cat, an established American and European created breed which expresses the colorpoint Burmese gene (cb) that results in a dark points on the extremities such as the ears, feet and tail as well as a dark mask on the face.[1] A written description and pictorial of the Suphalak first appeared in the ancient Thai manuscripts (written by Buddhist monks) over 300 years ago known as the Tamra Maew."
